Rank;Autores;Ano;Palavras-chave;TÃ­tulo;Revista;NÃºmero de CitaÃ§Ãµes;DOI;Abstract
22;"Léa Tresch; Yue Mu; Atsushi Itoh; Akito Kaga; Kazunori Taguchi; Masayuki Hirafuji; S. Ninomiya; Wei Guo";2019;"Extraction (chemistry); Throughput; Field (mathematics); Computer science; Quality (philosophy)";Easy MPE: Extraction of Quality Microplot Images for UAV-Based High-Throughput Field Phenotyping;PLANT PHENOMICS;44;10.34133/2019/2591849;Microplot extraction (PE) is a necessary image processing step in unmanned aerial vehicle- (UAV-) based research on breeding fields. At present, it is manually using ArcGIS, QGIS, or other GIS-based software, but achieving the desired accuracy is time-consuming. We therefore developed an intuitive, easy-to-use semiautomatic program for MPE called Easy MPE to enable researchers and others to access reliable plot data UAV images of whole fields under variable field conditions. The program uses four major steps: (1) binary segmentation, (2) microplot extraction, (3) production of ?.shp files to enable further file manipulation, and (4) projection of individual microplots generated from the orthomosaic back onto the raw aerial UAV images to preserve the image quality. Crop rows were successfully identified in all trial fields. The performance of the proposed method was evaluated by calculating the intersection-over-union (IOU) ratio between microplots determined manually and by Easy MPE: the average IOU (±SD) of all trials was 91% (±3).
23;"Luana Mendes dos Santos; Gabriel AraÃºjo e Silva Ferraz; Brenon Diennevan Souza Barbosa; Adriano Valentim Diotto; Diogo Tubertini Maciel; LetÃ­cia Aparecida GonÃ§alves Xavier";2020;;Biophysical parameters of coffee crop estimated by UAV RGB images;Precision Agriculture;39;10.1007/s11119-020-09716-4;The advance of digital agriculture combined with computational tools and Unmanned Aerial Vehicles (UAVs) has enabled the collection of data for reliably extracting vegetation indices and biophysical parameters derived from the Structure from Motion (SfM) algorithm. This work aimed to evaluate the accuracy of the photogrammetry technique using an SfM point cloud for the estimation of the height (h) and crown diameter (d) of coffee trees from aerial images obtained by UAV with an RGB (Red, Green, Blue) camera and compared the results with data measured in situ for 12Â months. The experiment was carried out in a coffee plantation, Lavras, Minas Gerais, Brazil. A rotary-wing UAV was used in autonomous flight mode and coupled to a conventional camera, flying at a height of 30Â m with an image overlap of 80% and a speed of 3Â m/s. The images were processed using PhotoScan software, and the analyses were performed in Qgis. A correlation of 87% was obtained between the h values in the field and h values obtained by the UAV, and there was a 95% correlation between the d values obtained in the field and the values obtained by the UAV. It was possible to obtain significant estimates of the attributes, such as the h and d of coffee trees, using UAVâ€“SfM images acquired with an RGB digital camera.
24;"Padma Srinivasaperumal; S. Vidhya Lakshmi; Ramaiah Prakash; Sundaresan Srividhya; A. Sivakumar; N. Divyah; Cristian Canales; Erick I. Saavedra Flores";2022;"Land cover; Urban sprawl; Ring road; Geography; Land use";Simulation of Land Use/Land Cover Dynamics Using Google Earth Data and QGIS: A Case Study on Outer Ring Road, Southern India;SUSTAINABILITY;39;10.3390/su142416373;The land use and land cover change dynamics is in par with the increasing growth of urban developments and associated sprawl. The objective of the study is to quantify such land cover changes caused due to the urban expansion along the outer ring road using Remote Sensing and GIS. The land cover maps are created for four segments namely Chikkarayapuram, Nazarathpettai, Meppur, and Perungalathur for the years of 2009, 2012, and 2016, respectively. The land cover maps are analyzed for changes among seven classes, namely agriculture, barren land, residential units, industry, water body, other vegetation, and marshland (swamp). Further, the land cover maps of the four segments are analyzed for changes in terms of spatiotemporal aspects (area-based land cover change), environmental aspects (green cover change), and economical factors. The urban growth of the Chikkarayapuram, Nazarathpettai, Meppur, and Perungalathur segment along the outer ring road corridor in the years 2009, 2012, and 2016 are (5.16%, 20.10%, 7.14%, and 12.63%), (14.31%, 30.62%, 13.9%, and 22.18%), and (19.67%, 33.1%, 23.22%, and 40.27%), respectively. The urban areas have increased from 2009 to 2016 by 20, 76,530 sq. m. The agriculture regions have been reduced from 2009 to 2016 by 12, 62,700 sq. m. Besides, using the MOLUSCE plugin in open-source GIS (QGIS), simulated maps for the year 2022 were created based on the land cover maps of the three years (2009, 2012, and 2016) which are then validated with the ground-truth points obtained from Google Earth. The scope of the study utilization of Google Earth Engine (GEE) and automated feature extraction algorithms for predictive analysis.
25;"Maysoon A A Osman; Elfatih M Abdel-Rahman; Joshua Orungo Onono; Lydia A Olaka; Muna M Elhag; Marian Adan; Henri E Z Tonnang";2023;;Mapping, intensities and future prediction of land use/land cover dynamics using google earth engine and CA- artificial neural network model.;PloS one;37;10.1371/journal.pone.0288694;Mapping of land use/ land cover (LULC) dynamics has gained significant attention in the past decades. This is due to the role played by LULC change in assessing climate, various ecosystem functions, natural resource activities and livelihoods in general. In Gedaref landscape of Eastern Sudan, there is limited or no knowledge of LULC structure and size, degree of change, transition, intensity and future outlook. Therefore, the aims of the current study were to (1) evaluate LULC changes in the Gedaref state, Sudan for the past thirty years (1988-2018) using Landsat imageries and the random forest classifier, (2) determine the underlying dynamics that caused the changes in the landscape structure using intensity analysis, and (3) predict future LULC outlook for the years 2028 and 2048 using cellular automata-artificial neural network (CA-ANN). The results exhibited drastic LULC dynamics driven mainly by cropland and settlement expansions, which increased by 13.92% and 319.61%, respectively, between 1988 and 2018. In contrast, forest and grassland declined by 56.47% and 56.23%, respectively. Moreover, the study shows that the gains in cropland coverage in Gedaref state over the studied period were at the expense of grassland and forest acreage, whereas the gains in settlements partially targeted cropland. Future LULC predictions showed a slight increase in cropland area from 89.59% to 90.43% and a considerable decrease in forest area (0.47% to 0.41%) between 2018 and 2048. Our findings provide reliable information on LULC patterns in Gedaref region that could be used for designing land use and environmental conservation frameworks for monitoring crop produce and grassland condition. In addition, the result could help in managing other natural resources and mitigating landscape fragmentation and degradation.
26;"Roomesh Kumar Jena; Siladitya Bandyopadhyay; Upendra Kumar Pradhan; Pravash Chandra Moharana; Nirmal Kumar; Gulshan Sharma; Partha Deb Roy; Dibakar Ghosh; Prasenjit Ray; Shelton Padua; Sundaram Ramachandran; Bachaspati Das; Surendra Singh; S.K. Ray; Amnah Mohammed Alsuhaibani; Ahmed Gaber; Akbar Hossain";2022;"Environmental science; Terrain; Kriging; Soil science; Soil map";Geospatial Modelling for Delineation of Crop Management Zones Using Local Terrain Attributes and Soil Properties;REMOTE SENSING;37;10.3390/rs14092101;Defining nutrient management zones (MZs) is crucial for the implementation of site-specific management. The determination of MZs is based on several factors, including crop, soil, climate, and terrain characteristics. This study aims to delineate MZs by means of geostatistical and fuzzy clustering algorithms considering remotely sensed and laboratory data and, subsequently, to compare the zone maps in the north-eastern Himalayan region of India. For this study, 896 grid-wise representative soil samples (0–25 cm depth) were collected from the study area (1615 km2). The soils were analysed for soil reaction (pH), soil organic carbon and available macro (N, P and K) and micronutrients (Fe, Mn, Zn and Cu). The predicted soil maps were developed using regression kriging, where 28 digital elevation model-derived terrain attributes and two vegetation derivatives were used as environmental covariates. The coefficient of determination (R2) and root mean square error were used to evaluate the model’s performance. The predicted soil parameters were accurate, and regression kriging identified the highest variability for the majority of the soil variables. Further, to define the management zones, the geographically weighted principal component analysis and possibilistic fuzzy c-means clustering method were employed, based on which the optimum clusters were identified by employing fuzzy performance index and normalized classification entropy. The management zones were constructed considering the total pixel points of 30 m spatial resolution (17, 86,985 data points). The area was divided into four distinct zones, which could be differently managed. MZ 1 covers the maximum (43.3%), followed by MZ 2 (29.4%), MZ 3 (27.0%) and MZ 4 (0.3%). The MZs map thus would not only serve as a guide for judicious location-specific nutrient management, but would also help the policymakers to bring sustainable changes in the north-eastern Himalayan region of India.
27;"Pablo Paccioretti; Mariano Córdoba; Mónica Balzarini";2020;"Precision agriculture; Software; Computer science; Data mining; Spatial analysis";FastMapping: Software to create field maps and identify management zones in precision agriculture;COMPUTERS AND ELECTRONICS IN AGRICULTURE;34;10.1016/j.compag.2020.105556;"Diverse on-farm agronomic data, gathered via precision agriculture (PA), require depuration and joint analysis of multiple georeferenced field characteristics such as crop yields, and soil and topographic aspects. Multivariate analysis of spatial variability has been recommended to understand variation of data within fields and classify sites into zones of broad similarity to support crop management. However, most of the statistical techniques available for spatial data require advanced skills. Cleaning and statistical analysis of big spatial data can only be effectively implemented if there are easy-to-use computer programs integrating the analytical steps. This paper explains the development and implementation of FastMapping, an interactive web application to automatically clean PA raw data, generate spatial variability field maps, and delineate multivariate management zones. The application uses an interface developed in R language that automatically depurates datafiles; in addition, through automatic spatial interpolation of each variable, it allows us to merge data layers on the same spatial grid in such a way that each site within the agricultural field has values of all the measured variables. On this grid, FastMapping identifies homogeneous zones, in a multivariate and spatial way, and provides data reports including validation of the delineated zones. FastMapping outputs for zone delineation were compared with results from Management Zone Analyst (MZA) software in several fields. The new software yielded a similar zoning to that of MZA and added graphs and statistical results that are lacking in most PA software tools. The flexibility of FastMapping to import, clean and visualize PA data in a single computer environment is highly encouraging. FastMapping can be used by the PA community to support site-specific agricultural management."
28;"Kelly R. Thorp; Douglas J. Hunsaker; Andrew N. French; Eduardo Bautista; K. F. Bronson";2015;"Geospatial analysis; Geographic information system; Irrigation; Cropping; Agricultural engineering";Integrating geospatial data and cropping system simulation within a geographic information system to analyze spatial seed cotton yield, water use, and irrigation requirements;PRECISION AGRICULTURE;34;10.1007/s11119-015-9393-x;The development of sensors that provide geospatial information on crop and soil conditions has been a primary success for precision agriculture. However, further developments are needed to integrate geospatial data into computer algorithms that spatially optimize crop production while considering potential environmental impacts and resource limitations. The objective of this research was to combine several information technologies, including remote sensing, a cropping system model, and a geographic information system (GIS), to synthesize and interpret geospatial data collected during two irrigation scheduling experiments conducted in 2009 and 2011 in a 5-ha cotton field in central Arizona. The Geospatial Simulation (GeoSim) plug-in for Quantum GIS was used to manage geospatial data and conduct site-specific simulations with the CSM-CROPGRO-Cotton model. Simulated annealing optimization was used to adjust five model parameters to simulate site-specific conditions in 320 zones across the field. Using input parameters for GeoSim, a multiple criteria objective function was developed to incorporate measured and simulated leaf area index (LAI), crop canopy height, seed cotton yield, and evapotranspiration (ET) for site-specific optimization of CSM-CROPGRO-Cotton. Parameter identifiability and equifinality issues associated with model inversion were investigated. The optimized model was used for post hoc analysis of irrigation rates that maximized site-specific irrigation water use efficiency. With spatial optimization, the model was able to simulate LAI with root mean squared errors (RMSE) of 15 and 8 % in the 2009 and 2011 experiments, respectively. The RMSEs between measured and simulated canopy height, seed cotton yield, and ET were 5 % or less in both seasons. Some parameters were more identifiable than others during model inversions. Multiple temporal estimates of LAI were effective for constraining the model’s specific leaf area parameter (SLAVR, cm2 g?1), but lack of information on root growth reduce identifiability of a parameter related to that process (SRGF0). Post-hoc simulation analysis of irrigation management options showed that irrigation schedules based on remotely sensed vegetation indices increased irrigation water use efficiency as compared to traditional scheduling methods, particularly in the 2009 growing season. In 2011, the analysis showed that all scheduling methods resulted in excess irrigation application, and higher deep seepage rates were simulated in that season. Taken together, the results demonstrate that well-designed software tools and algorithms for data processing and interpretation can be potentially transformative for integrating multiple geospatial data sets to compute optimum scenarios for precision irrigation management.
29;"Christoph Hütt; Guido Waldhoff; Georg Bareth";2020;"Computer science; Remote sensing; Cadastre; Software; Toolbox";Fusion of Sentinel-1 with Official Topographic and Cadastral Geodata for Crop-Type Enriched LULC Mapping Using FOSS and Open Data;ISPRS INTERNATIONAL JOURNAL OF GEO-INFORMATION;30;10.3390/ijgi9020120;Accurate crop-type maps are urgently needed as input data for various applications, leading to improved planning and more sustainable use of resources. Satellite remote sensing is the optimal tool to provide such data. Images from Synthetic Aperture Radar (SAR) satellite sensors are preferably used as they work regardless of cloud coverage during image acquisition. However, processing of SAR is more complicated and the sensors have development potential. Dealing with such a complexity, current studies should aim to be reproducible, open, and built upon free and open-source software (FOSS). Thereby, the data can be reused to develop and validate new algorithms or improve the ones already in use. This paper presents a case study of crop classification from microwave remote sensing, relying on open data and open software only. We used 70 multitemporal microwave remote sensing images from the Sentinel-1 satellite. A high-resolution, high-precision digital elevation model (DEM) assisted the preprocessing. The multi-data approach (MDA) was used as a framework enabling to demonstrate the benefits of including external cadastral data. It was used to identify the agricultural area prior to the classification and to create land use/land cover (LULC) maps which also include the annually changing crop types that are usually missing in official geodata. All the software used in this study is open-source, such as the Sentinel Application Toolbox (SNAP), Orfeo Toolbox, R, and QGIS. The produced geodata, all input data, and several intermediate data are openly shared in a research database. Validation using an independent validation dataset showed a high overall accuracy of 96.7% with differentiation into 11 different crop-classes.
30;"Agnieszka Jenerowicz; Ma?gorzata Woroszkiewicz";2016;"Sharpening; Remote sensing; Multispectral image; Sensor fusion; Computer science";The pan-sharpening of satellite and UAV imagery for agricultural applications;REMOTE SENSING FOR AGRICULTURE, ECOSYSTEMS, AND HYDROLOGY XVIII;29;10.1117/12.2241645;Remote sensing techniques are widely used in many different areas of interest, i.e. urban studies, environmental studies, agriculture, etc., due to fact that they provide rapid, accurate and information over large areas with optimal time, spatial and spectral resolutions. Agricultural management is one of the most common application of remote sensing methods nowadays. Monitoring of agricultural sites and creating information regarding spatial distribution and characteristics of crops are important tasks to provide data for precision agriculture, crop management and registries of agricultural lands. For monitoring of cultivated areas many different types of remote sensing data can be used- most popular are multispectral satellites imagery. Such data allow for generating land use and land cover maps, based on various methods of image processing and remote sensing methods. This paper presents fusion of satellite and unnamed aerial vehicle (UAV) imagery for agricultural applications, especially for distinguishing crop types. Authors in their article presented chosen data fusion methods for satellite images and data obtained from low altitudes. Moreover the authors described pan- sharpening approaches and applied chosen pan- sharpening methods for multiresolution image fusion of satellite and UAV imagery. For such purpose, satellite images from Landsat- 8 OLI sensor and data collected within various UAV flights (with mounted RGB camera) were used. In this article, the authors not only had shown the potential of fusion of satellite and UAV images, but also presented the application of pan- sharpening in crop identification and management.
31;"Fei Zhang; Nengxiu Cao";2019;"Geographic information system; Computer science; GIS applications; Agriculture; Information system";Application and Research Progress of Geographic Information System (GIS) in Agriculture;2019 8TH INTERNATIONAL CONFERENCE ON AGRO-GEOINFORMATICS (AGRO-GEOINFORMATICS);28;10.1109/agro-geoinformatics.2019.8820476;The application of Geographic Information System (GIS) in agriculture is a new and important research field in agricultural science. This paper first introduces the evolution of GIS technology. As the third generation language of geography, GIS is a comprehensive application system developed in the last 50 years. Internationally, GIS began to be used in agriculture in the 1970s. It has been applied in land resource survey, land resource evaluation, and management analysis of agricultural resource information. After the 1990s, the application of GIS in the field of agriculture has been deepened and popularized. It is mainly used in the followings, such as the regional agricultural sustainable development research, land crop suitability evaluation, agricultural production information management, farmland soil erosion and protection research, land agricultural productive potential research, agricultural system imitation and simulation research, integrated of modern high-tech “precision agriculture” research and application, agro-ecosystem monitoring and quantitative research, investigation, planning and management of farmland and agricultural input-output benefits and environmental protection research, forest pest control, etc. In China, in the mid-1980s, GIS began to be applied to the agricultural field including land and resources decision management, agricultural resource information, regional agricultural planning, grain distribution management and food production assisted decision-making, agricultural production potential research, crop yield estimation research, regional agricultural sustainable development research, agricultural land suitability evaluation, agro-ecological environment monitoring, and research on precision agricultural information processing systems based on GPS and GIS, which have made great achievements. Some research results have been directly applied to agricultural production and great economic benefits have been obtained. This paper focuses on the specific application research of GIS technology on agricultural resource information management, agroclimatic zoning, agricultural disaster prevention, agro-ecological environment management, precision agriculture, crop yield estimation and monitoring, soil erosion, ecological sensitivity and non-point source pollution, etc. The research believes that the application of “3S” integration technology, the integration of integrated agricultural expert system (ES) combined with GIS, and the application of portable mobile GIS are the main trend of modern agriculture development of GIS technology under the background of today's informatization and networking.
32;"Simone Lanucara; Salvatore Praticò; Giovanni Pioggia; Salvatore Di Fazio; Giuseppe Modica";2024;"Geospatial analysis; Precision agriculture; Computer science; Field (mathematics); Unit (ring theory)";Web-based spatial decision support system for precision agriculture: A tool for delineating dynamic management unit zones (MUZs);SMART AGRICULTURAL TECHNOLOGY;26;10.1016/j.atech.2024.100444;"Precision agriculture (PA) is a farming management concept that aims to provide agronomic, economic, and environmental benefits. One of the fields of research in PA is the delineation of Management Unit Zones (MUZs). MUZs are the sub-division of fields featuring an inter-zonal variation delineated by agronomists for on-field PA operations. To develop MUZs, three factors typically need to be considered: input multi-dimensional data, procedures to process the information, and the optimal number of zones a field should be divided into. PA uses digital technologies to collect and analyze a large amount of data, outline MUZs, monitor crops, and carry out site-specific crop management. Web-based spatial decision support systems (WB-SDSS) can provide users with tools that ease the complex procedures for PA. The objective of this study is twofold: on the one hand, we developed a free and open source (FOSS) WB-SDSS to facilitate the implementation and use of such tools for delineating MUZs and monitoring crops; on the other, a MUZs outline procedure was developed based on Sentinel-2 and Planetscope time series data, and spatio-temporal dynamic clustering model using fuzzy c-means. Our study highlighted that the WB-SDSS might be a helpful solution for harmonizing data collected from different sources, easing the implementation and use of complex geospatial procedures for PA, and delineating MUZs. We tested the system on a particularly representative farm in the Emilia Romagna region (Northern Italy), with 512 hectares of durum wheat crops. Using the WB-SDSS, we quickly delineated homogeneous zones for 27 fields in the study area during the phenological cycle of durum wheat (November 2018-June 2019)."
33;"Runwei Li; Chenyang Wei; Mahnaz Dil Afroz; Jun Lyu; Gang Chen";2021;"Cropping; Crop simulation model; Yield (engineering); Agriculture; Crop yield";A GIS-based framework for local agricultural decision-making and regional crop yield simulation;AGRICULTURAL SYSTEMS;25;10.1016/j.agsy.2021.103213;"CONTEXT: In agricultural activities, the decision-making process is central to agricultural system management and subsequent crop yield. As a powerful tool in field-specific decision-making processes, crop simulation models have the potential to simulate crop yields on a large scale. However, their performance is often biased by the spatial heterogeneity of environment and management factors when applied over a large scale. OBJECTIVE: The major objectives of this study include: (1) Predicting and evaluating the annual yields of dominant crops with real rotation scenarios; (2) Locating fields with low crop yield and determining possible reasons; and (3) Evaluating the improvement for crop yield with different management strategies. METHODS: This study proposed a crop yield simulation framework at the regional level by coupling a cropping system model (CropSyst) with a geographic information system (QGIS) to provide more reliable information for the decision-making process. In the study of a cropland concentrated USGS sub-watershed (Hydrologic Unit Code: 031402030101) in Geneva County, Alabama, we estimated the annual yields of four regionally dominant crops (i.e., corn, cotton, soybean, and peanuts) from 2016 to 2018. Low yield fields were identified in the simulation results visualization. Moreover, four management strategies were tested at a field scale to improve annual yields."
34;"Hui Shao; Wanhong Yang; John B. Lindsay; Yongbo Liu; Zhiqiang Yu; Anatoliy Oginskyy";2017;"Watershed; Geographic information system; Soil and Water Assessment Tool; Geospatial analysis; Environmental science";An Open Source GIS ?Based Decision Support System for Watershed Evaluation of Best Management Practices;JOURNAL OF THE AMERICAN WATER RESOURCES ASSOCIATION;25;10.1111/1752-1688.12521;Abstract Economic costs, water quantity/quality benefits, and cost effectiveness of agricultural best management practices (BMPs) at a watershed scale are increasingly examined using integrated economic?hydrologic models. However, these models are typically complex and not user?friendly for examining the effects of variousBMPscenarios. In this study, an open source geographic information system (GIS)?based decision support system (DSS), named the watershed evaluation ofBMPs (WEBs), was developed for creatingBMPscenarios and simulating economic costs and water quantity/quality benefits at farm field, subbasin, and watershed scales. ThisDSSorWEBs interface integrated a farm economic model, the Soil and Water Assessment Tool (SWAT), and an optimization model within Whitebox Geospatial Analysis Tools (GAT), an open sourceGISsoftware. TheDSSwas applied to the 14.3?km2Gully Creek watershed, a coastal watershed in southern Ontario, Canada that drains directly into Lake Huron.BMPs that were evaluated included conservation tillage, nutrient management, cover crop, and water and sediment control basins. In addition to assessing economic costs, water quantity/quality benefits, and cost effectiveness ofBMPs, theDSScan be also used to examine prioritizedBMPtypes/locations and corresponding economic and water quantity/quality tradeoffs in the study watershed based on environmental targets or budget constraints. Further developments of theDSSincluding interface transfer to other watersheds are also discussed.Editor's note: This paper is part of the featured series onSWATApplications for Emerging Hydrologic and Water Quality Challenges. See the February 2017 issue for the introduction and background to the series.
35;"Enric FernÃ¡ndez; Gil Gorchs; Lydia Serrano";2019;;Use of consumer-grade cameras to assess wheat N status and grain yield.;PloS one;22;10.1371/journal.pone.0211889;Wheat Grain Yield (GY) and quality are particularly susceptible to nitrogen (N) fertilizer management. However, in rain-fed Mediterranean environments, crop N requirements might be variable due to the effects of water availability on crop growth. Therefore, in-season crop N status assessment is needed in order to apply N fertilizer in a cost-effective way while reducing environmental impacts. Remote sensing techniques might be useful at assessing in-season crop N status. In this study, we evaluated the capacity of vegetation indices formulated using blue (B), green (G), red (R) and near-infrared (NIR) bands obtained with a consumer-grade camera to assess wheat N status. Chlorophyll Content Index (CCI) and fractional intercepted PAR (fIPAR) were measured at three phenological stages and GY and biomass were determined at harvest. Indices formulated using RG bands and the normalized difference vegetation index (NDVI) were significantly correlated with both CCI and fIPAR at the different phenological stage (0.71 0.80, P < 0.01). Finally, RGB indices and NDVI obtained with a consumer-grade camera showed comparable capacity at assessing chlorophyll content and predicting both crop biomass and GY at harvest than those obtained with a spectroradiometer. This study highlights the potential of standard and modified consumer-grade cameras at assessing canopy traits related to crop N status and GY in wheat under Mediterranean conditions.
36;Danish Raza, Hong ShuHong Shu, Sami Ullah KhanSami Ullah Khan, Show all 8 authors, Muhammad ArshadMuhammad Arshad;2022;Sentinel-2, crop precision, vegetation index, random forest, land surface temperature, google earth engine;Comparative geospatial approach for agricultural crops identification in inter- fluvial plain- A case study of Sahiwal district, Pakistan;PAKISTAN JOURNAL OF AGRICULTURAL SCIENCES;22;10.21162/PAKJAS/22.127;Agricultural crop cover identification is a major issue and time-consuming effort to verify the crop type through surveys of the individual field or using prehistoric methods. To establish the scenario of crop identification, the stage of crop provides diversespatial information about the variety of crops due to its spectral changes. The main aim of this study was to the identify thecrop types and their behavior using remote sensing and geographical information system-based approach. Moreover, two mainmethods were applied to the Sentinel-2 satellite data in which one is random forest based supervised classification and anotherwas Normalize Difference Vegetation Index (NDVI) density estimation method through the google earth engine to procure thedata in time-efficient way. This study also established the comparison between classified and vegetation index based seasonalcompositional datasets for wheat, cotton, maize, and fodder crops. Study discussed the best fit technique for crops identificationin the light of observed methods. Furthermore, the vegetation index ranges by the zonal statistics of the field samples wereestablished according to crop precision. Results showed that -22.94, -43.72, 20.61, and 32.49 % dissimilarities existed in wheat,fodder, cotton, and maize results respectively, after comparison of both techniques. Although, the accuracy assessment wasperformed on the classified dataset for validation of results by confusion matrix accuracy assessment process using field sampledata. Moreover, the vegetation index was used to evaluate crop land surface temperature to estimate the crop growth stagevaluation that revealed noticeably enthralling outcomes. The results determined that the classified accuracies of wheat, cotton,maize and fodder were 84, 80, 81 and 71 % respectively. This study also revealed that the random forest classifier has usedmore features and information potentially during the classifier trainings but vegetation index just implies the limited numberof features such as crop growing status.
37;"Dennis Ochola; Bastiaen Boekelo; Gerrie W J van de Ven; Godfrey Taulya; Jerome Kubiriba; Piet J A van Asten; Ken E Giller";2022;;Mapping spatial distribution and geographic shifts of East African highland banana (Musa spp.) in Uganda.;PloS one;21;10.1371/journal.pone.0263439;"East African highland banana (Musa acuminata genome group AAA-EA; hereafter referred to as banana) is critical for Uganda's food supply, hence our aim to map current distribution and to understand changes in banana production areas over the past five decades. We collected banana presence/absence data through an online survey based on high-resolution satellite images and coupled this data with independent covariates as inputs for ensemble machine learning prediction of current banana distribution. We assessed geographic shifts of production areas using spatially explicit differences between the 1958 and 2016 banana distribution maps. The biophysical factors associated with banana spatial distribution and geographic shift were determined using a logistic regression model and classification and regression tree, respectively. Ensemble models were superior (AUC = 0.895; 0.907) compared to their constituent algorithms trained with 12 and 17 covariates, respectively: random forests (AUC = 0.883; 0.901), gradient boosting machines (AUC = 0.878; 0.903), and neural networks (AUC = 0.870; 0.890). The logistic regression model (AUC = 0.879) performance was similar to that for the ensemble model and its constituent algorithms. In 2016, banana cultivation was concentrated in the western (44%) and central (36%) regions, while only a small proportion was in the eastern (18%) and northern (2%) regions. About 60% of increased cultivation since 1958 was in the western region; 50% of decreased cultivation in the eastern region; and 44% of continued cultivation in the central region. Soil organic carbon, soil pH, annual precipitation, slope gradient, bulk density and blue reflectance were associated with increased banana cultivation while precipitation seasonality and mean annual temperature were associated with decreased banana cultivation over the past 50 years. The maps of spatial distribution and geographic shift of banana can support targeting of context-specific intensification options and policy advocacy to avert agriculture driven environmental degradation."
38;"Ho-Young Ban; Joong-Bae Ahn; Byun-Woo Lee";2019;;Assimilating MODIS data-derived minimum input data set and water stress factors into CERES-Maize model improves regional corn yield predictions.;PloS one;20;10.1371/journal.pone.0211874;Crop growth models and remote sensing are useful tools for predicting crop growth and yield, but each tool has inherent drawbacks when predicting crop growth and yield at a regional scale. To improve the accuracy and precision of regional corn yield predictions, a simple approach for assimilating Moderate Resolution Imaging Spectroradiometer (MODIS) products into a crop growth model was developed, and regional yield prediction performance was evaluated in a major corn-producing state, Illinois, USA. Corn growth and yield were simulated for each grid using the Crop Environment Resource Synthesis (CERES)-Maize model with minimum inputs comprising planting date, fertilizer amount, genetic coefficients, soil, and weather data. Planting date was estimated using a phenology model with a leaf area duration (LAD)-logistic function that describes the seasonal evolution of MODIS-derived leaf area index (LAI). Genetic coefficients of the corn cultivar were determined to be the genetic coefficients of the maturity group [included in Decision Support System for Agrotechnology Transfer (DSSAT) 4.6], which shows the minimum difference between the maximum LAI derived from the LAD-logistic function and that simulated by the CERES-Maize model. In addition, the daily water stress factors were estimated from the ratio between daily leaf area/weight growth rates estimated from the LAD-logistic function and that simulated by the CERES-Maize model under the rain-fed and auto-irrigation conditions. The additional assimilation of MODIS data-derived water stress factors and LAI under the auto-irrigation condition showed the highest prediction accuracy and precision for the yearly corn yield prediction (R2 is 0.78 and the root mean square error is 0.75 t ha-1). The present strategy for assimilating MODIS data into a crop growth model using minimum inputs was successful for predicting regional yields, and it should be examined for spatial portability to diverse agro-climatic and agro-technology regions.
39;"S. Meivel; S. Uma Maheswari";2022;"Vegetation (pathology); Multispectral image; Environmental science; Remote sensing; Leaf area index";Monitoring of potato crops based on multispectral image feature extraction with vegetation indices;MULTIDIMENSIONAL SYSTEMS AND SIGNAL PROCESSING;20;10.1007/s11045-021-00809-5;The number of individuals working in agriculture is decreasing due to a labor shortage. When switching from manual to automation mode, image mapping must survey soil testing and plant vegetation development. The existing studies met several shortcomings in terms of higher cost remote sensing tools, higher execution time, higher computational complexity, and so on. To tackle these issues, we proposed a multispectral images feature extraction with vegetation indices for potato crops monitoring. This article discusses the many characteristics that are used to identify plants, such as plant count, plant height estimation, plant area evaluation, plant distance, crop vegetation growth detection, damaged area identification, and higher-lower vegetation. Calculating Crop growth days and minimizing leaf or root damage are provided by QGIS and Pix4Dmapper software. It measured all soil testing parameters as well as plant vegetative development. We provided a raster function for aggregation based on a low-resolution image for estimating plant area evaluation and parameters in a growing zone for higher cultivation plants. This research revealed 98% vegetation indices as well as plant characteristics. Various key parameters such as leaf area density, plants coordinates, plant height, the proportion of diffuse light for incident sunlight, and solar zenith angle are examined. The Quality Report of Vegetation Indices Value resulted in an accuracy of 96% when good or terrible weather conditions exist. All Vegetation indices values are compared with other existing technique results in terms of maximum and minimum vegetation to verify its superiority.
