Rank;Autores;Ano;Título;Palavras-chave;Revista;Número de Citações;DOI;Abstract
11;"Maysoon A A Osman; Elfatih M Abdel-Rahman; Joshua Orungo Onono; Lydia A Olaka; Muna M Elhag; Marian Adan; Henri E Z Tonnang";2023;Mapping, intensities and future prediction of land use/land cover dynamics using google earth engine and CA- artificial neural network model.;N/D;PloS one;37;10.1371/journal.pone.0288694;Mapping of land use/ land cover (LULC) dynamics has gained significant attention in the past decades. This is due to the role played by LULC change in assessing climate, various ecosystem functions, natural resource activities and livelihoods in general. In Gedaref landscape of Eastern Sudan, there is limited or no knowledge of LULC structure and size, degree of change, transition, intensity and future outlook. Therefore, the aims of the current study were to (1) evaluate LULC changes in the Gedaref state, Sudan for the past thirty years (1988-2018) using Landsat imageries and the random forest classifier, (2) determine the underlying dynamics that caused the changes in the landscape structure using intensity analysis, and (3) predict future LULC outlook for the years 2028 and 2048 using cellular automata-artificial neural network (CA-ANN). The results exhibited drastic LULC dynamics driven mainly by cropland and settlement expansions, which increased by 13.92% and 319.61%, respectively, between 1988 and 2018. In contrast, forest and grassland declined by 56.47% and 56.23%, respectively. Moreover, the study shows that the gains in cropland coverage in Gedaref state over the studied period were at the expense of grassland and forest acreage, whereas the gains in settlements partially targeted cropland. Future LULC predictions showed a slight increase in cropland area from 89.59% to 90.43% and a considerable decrease in forest area (0.47% to 0.41%) between 2018 and 2048. Our findings provide reliable information on LULC patterns in Gedaref region that could be used for designing land use and environmental conservation frameworks for monitoring crop produce and grassland condition. In addition, the result could help in managing other natural resources and mitigating landscape fragmentation and degradation.
12;"Vinay Kumar; Ashwini Zadokar; Pankaj Kumar; Rohit Sharma; Rajnish Sharma; Mohammed Wasim Siddiqui; Mohammad Irfan; Rahul Chandora";2025;Advancing medicinal plant agriculture: integrating technology and precision agriculture for sustainability.;"Geographic information systems; Global positioning system; Medicinal plants; Precision agriculture; Sensor technology; Sustainability; Variable rate technology";PeerJ;10;10.7717/peerj.19058;To strengthen the agriculture sector, it is crucial to combine the efforts of industrialization (field mechanization and fertilizer production), technology (genome editing and manipulation), and the information sector (for the application of current technologies in precision agriculture). The challenge of modern sustainable agriculture is increasing agricultural output while using the least amount of resources and capital expenditure possible and considering the variables contributing to environmental damage. Different environmental factors adversely affect medicinal plant populations, leading to the extinction of these valuable medicinal species. These difficulties drew the attention of the international scientific community to farm sustainability and energy efficiency studies that put forth the idea of precision agriculture (site-specific crop management) in medicinal plants. It is a systems-based method that monitors and responds to changes in intra- and inter-field conditions for environmentally friendly and optimum crop output. Farming systems have significantly benefited from the visualization and morphological analysis of agricultural areas (both open fields and greenhouse experiments) using remote sensing technology, geographic information systems (GIS), crop scouting, variable rate technology (VRT), and Global Positioning System (GPS). These technologies form the backbone of the fourth agricultural technological revolution, Agriculture 4.0. This review concisely summarizes these innovative technologies' current use and potential future advancements in medicinal plants. The review is intended for researchers, professionals in medicinal plant cultivation, herbal medicine research, crop science, and related fields.
13;"Nebojša Nikolić; Pietro Mattivi; Salvatore Eugenio Pappalardo; Massimo De Marchi; Roberta Masin";2025;From detection to action: Creating operational prescription maps for weed management using low-cost UAVs;N/D;Italian Journal of Agronomy;7;10.1016/j.ijagro.2025.100047;Weeds remain one of the leading constraints to sustainable agriculture, prompting widespread herbicide use that poses environmental and economic concerns. Precision agriculture, particularly Unmanned Aerial Vehicle (UAV)-based remote sensing, offers a promising alternative by enabling site-specific weed management. However, despite their cost-effectiveness relative to ground-based systems and their growing technical feasibility, adoption rates in Italy remain below 10%. This limited uptake stems from complex interrelated barriers: fragmented land ownership, generational divides, lack of awareness and trust in emerging technologies. Cultural resistance and perceived technical complexity further hinder integration at the farm level, especially among smallholders. This study investigates the operational potential of low-cost UAVs combined with open-source image classification algorithms to produce prescription maps for targeted herbicide application. Specifically, it aims to assess the feasibility of using commercially available, low-cost drones equipped with standard cameras, together with GIS tools, to reduce herbicide use and improve environmental sustainability. The effectiveness of this approach is evaluated across multiple spatial configurations and weed infestation thresholds, with a view toward broader applicability in Italian and comparable agro-environmental contexts. The experimental site is set on a maize field in NE Italy, the research tested three classification methods—Artificial Neural Networks (ANN), Maximum Likelihood Classifier (MLC), and Object-Based Image Analysis (OBIA)—across varying grid sizes and weed detection thresholds to provide modular prescription maps for different weed management scenarios. Results demonstrate a significant reduction in the treated area compared to conventional blanket spraying, with ANN ranging from 18.92% to 3.75%, MLC from 14.59% to 2.18%, and OBIA from 15.82% to 3.49%, depending on the configuration. This study highlights how commercial low-cost UAVs and open-source GIS tools, when applied through a structured and reproducible workflow, can bridge the gap between innovation and practical application in sustainable agriculture
14;"Ho-Young Ban; Joong-Bae Ahn; Byun-Woo Lee";2019;Assimilating MODIS data-derived minimum input data set and water stress factors into CERES-Maize model improves regional corn yield predictions.;N/D;PloS one;20;10.1371/journal.pone.0211874;Crop growth models and remote sensing are useful tools for predicting crop growth and yield, but each tool has inherent drawbacks when predicting crop growth and yield at a regional scale. To improve the accuracy and precision of regional corn yield predictions, a simple approach for assimilating Moderate Resolution Imaging Spectroradiometer (MODIS) products into a crop growth model was developed, and regional yield prediction performance was evaluated in a major corn-producing state, Illinois, USA. Corn growth and yield were simulated for each grid using the Crop Environment Resource Synthesis (CERES)-Maize model with minimum inputs comprising planting date, fertilizer amount, genetic coefficients, soil, and weather data. Planting date was estimated using a phenology model with a leaf area duration (LAD)-logistic function that describes the seasonal evolution of MODIS-derived leaf area index (LAI). Genetic coefficients of the corn cultivar were determined to be the genetic coefficients of the maturity group [included in Decision Support System for Agrotechnology Transfer (DSSAT) 4.6], which shows the minimum difference between the maximum LAI derived from the LAD-logistic function and that simulated by the CERES-Maize model. In addition, the daily water stress factors were estimated from the ratio between daily leaf area/weight growth rates estimated from the LAD-logistic function and that simulated by the CERES-Maize model under the rain-fed and auto-irrigation conditions. The additional assimilation of MODIS data-derived water stress factors and LAI under the auto-irrigation condition showed the highest prediction accuracy and precision for the yearly corn yield prediction (R2 is 0.78 and the root mean square error is 0.75 t ha-1). The present strategy for assimilating MODIS data into a crop growth model using minimum inputs was successful for predicting regional yields, and it should be examined for spatial portability to diverse agro-climatic and agro-technology regions.
15;"Firdissa Sadeta Tiye; Diriba Korecha; Tariku Mekonnen Gutema; Dessalegn Obsi Gemeda";2025;Modeling land use and land cover dynamics of Bale Mountains National Park using Google Earth Engine and cellular automata-artificial neural network (CA-ANN) model.;N/D;PloS one;13;10.1371/journal.pone.0320428;This research aimed to assess the observed land use and land cover (LULC) changes of Bale Mountains National Park (BMNP) from 1993 to 2023 and its future projections for the years (2033 and 2053). The study utilized multi-date Landsat imagery from 1993, 2003, 2013, and 2023, leveraging Landsat 5 TM, Landsat 7 ETM+, and Landsat 8 OLI-TIRS sensors for LULC classification. Standard image pre-processing techniques were applied, and composite images were created using yearly median values in Google Earth Engine (GEE). In addition to satellite data, both physical and socioeconomic variables were used as input for future LULC modeling. The Random Forest (RF) classification algorithm was used for image classification, while the Cellular Automata Artificial Neural Networks (CA-ANN) model within the Modules for Land Use Change Simulations (MOLUSCE) plugin of QGIS was employed for future LULC projection. The analysis revealed significant LULC changes in BMNP, from 1993 to 2023, primarily due to anthropogenic activities, with further changes anticipated between 2023 and 2053.The results showed a notable increase in woodland and shrubs at the expense of grassland and Erica forest. While woodland and shrubs increased by 87.18% and 36.7%, areas of Erica forest and grassland lost about 25% and 22% of their area, respectively, during this period. The LULC model results also indicated that areas covered by woodland and shrubs are expected to increase by 15.97% and 15.57%, respectively, between 2023 and 2053. Conversely, land areas occupied by cultivated land, Erica forest, grassland, and herbaceous plants are projected to decrease by 28.52%, 3.28%, 19.03%, and 6.55%, respectively. Proximity to roads and urban areas combined with rising temperatures and altered precipitation patterns emerged as critical factors influencing land use conversion patterns in BMNP. These findings underscore the complex interplay between environmental factors and human activities in shaping land cover dynamics. Hence, promoting sustainable land management practices among the park administration and local community as well as enhancing habitat protection efforts are recommended. Additionally, integrating advanced remote sensing technologies with ground truthing efforts will be essential for accurate assessments of LULC dynamics in this critical area of biodiversity.
16;"Chunhwa Jang; Nictor Namoi; Eric Wolske; Daniel Wasonga; Gevan Behnke; N Dennis Bowman; D K Lee";2024;Integrating plant morphological traits with remote-sensed multispectral imageries for accurate corn grain yield prediction.;N/D;PloS one;10;10.1371/journal.pone.0297027;Sustainable crop production requires adequate and efficient management practices to reduce the negative environmental impacts of excessive nitrogen (N) fertilization. Remote sensing has gained traction as a low-cost and time-efficient tool for monitoring and managing cropping systems. In this study, vegetation indices (VIs) obtained from an unmanned aerial vehicle (UAV) were used to detect corn (Zea mays L.) response to varying N rates (ranging from 0 to 208 kg N ha-1) and fertilizer application methods (liquid urea ammonium nitrate (UAN), urea side-dressing and slow-release fertilizer). Four VIs were evaluated at three different growth stages of corn (V6, R3, and physiological maturity) along with morphological traits including plant height and leaf chlorophyll content (SPAD) to determine their predictive capability for corn yield. Our results show no differences in grain yield (average 13.2 Mg ha-1) between furrow-applied slow-release fertilizer at ≥156 kg N ha-1 and 208 kg N ha-1 side-dressed urea. Early season remote-sensed VIs and morphological data collected at V6 were least effective for grain yield prediction. Moreover, multivariate grain yield prediction was more accurate than univariate. Late-season measurements at the R3 and mature growth stages using a combination of normalized difference vegetation index (NDVI) and green normalized difference vegetation index (GNDVI) in a multilinear regression model showed effective prediction for corn yield. Additionally, a combination of NDVI and normalized difference red edge index (NDRE) in a multi-exponential regression model also demonstrated good prediction capabilities.
17;"Taiara Souza Costa; Roberto Filgueiras; Robson Argolo Dos Santos; Fernando França da Cunha";2023;Actual evapotranspiration by machine learning and remote sensing without the thermal spectrum.;N/D;PloS one;16;10.1371/journal.pone.0285535;The objectives of this study were to use machine learning algorithms to establish a model for estimating the evapotranspiration fraction (ETf) using two data input scenarios from the spectral information of the Sentinel-2 constellation, and to analyze the temporal and spatial applicability of the models to estimate the actual evapotranspiration (ETr) in agricultural crops irrigated by center pivots. The spectral bands of Sentinel 2A and 2B satellite and vegetation indices formed the first scenario. The second scenario was formed by performing the normalized ratio procedure between bands (NRPB) and joining the variables applied in the first scenario. The models were generated to predict the ETf using six regression algorithms and then compared with ETf calculated by the Simple Algorithm For Evapotranspiration Retrieving (SAFER) algorithm, was considered as the standard. The results possible to select the best model, which in both scenarios was Cubist. Subsequently, ETf was estimated only for the center pivots present in the study area and the classification of land use and cover was accessed through the MapBiomas product. Land use was necessary to enable the calculation of ETr in each scenario, in the center pivots with sugarcane and soybean crops. ETr was estimated using two ETo approaches (EToBrazil and Hargreaves-Samani). It was found that the Hargreaves-Samani equation overestimated ETr with higher errors mainly for center pivots with sugarcane, where systematic error (MBE) ranged from 0.89 to 2.02 mm d-1. The EToBrazil product, on the other hand, presented statistical errors with MBE values ranging from 0.00 to 1.26 mm d-1 for both agricultural crops. Based on the results obtained, it is observed that the ETr can be monitored spatially and temporally without the use of the thermal band, which causes the estimation of this parameter to be performed with greater temporal frequency.
18;"Júnior Melo Damian; Osmar Henrique de Castro Pias; Antônio Luis Santi; Nicola Di Virgilio; Juliano Berghetti; Lorenzo Barbanti; Roberta Martelli";2016;Delineating management zones for precision agriculture applications: a case study on wheat in sub-tropical Brazil;"Grain yield; management zones; precision agriculture; soil properties; spatial variability; wheat";Italian Journal of Agronomy;9;10.4081/ija.2016.713;"In sub-tropical Brazil, the wheat ( Triticum aestivum L.) crop requires identification of pending constraints as premise for grain yield (GY) increases. In this light, spatial variation of soil properties and their relationship with GY were investigated in a case study, where the delineation of homogeneous zones could lead to site-specific management in view of crop improvement. In 2012, twelve chemical and physical soil attributes, GY and the three yield components (spikes per square meters, grains per spike, grain weight) were geo-referentially assessed in a 50×50 m grid in a 4.7 ha wheat field. GY exhibited a modest mean (2.61 Mg ha –1 ), associated with a noticeable variation (CV, 17.4%). A multiple stepwise regression of soil carbon (C) and pH explained a high share of GY variation (R 2 , 0.83**). Maps of C, pH and GY obtained through inverse distance weighting showed the spatial trends of the three traits. C and pH clustering delineated three homogeneous zones at respective low, intermediate and high levels of C, pH, and also GY, setting the premise for a differential management of crop inputs. In particular, a significant part (21.8%) of field surface featured very low GY (2.05 Mg ha –1 ); thus substantial yield increase could be envisaged through targeted supply of organic amendments (soil C, 14.1 g dm –3 ), and especially lime (soil pH, 4.92). A larger field portion (54%) showed intermediate GY (2.65 Mg ha –1 ), C (15.3 g dm –3 ) and pH (5.23), deserving a lesser degree of amelioration. The remaining 24.2% of field surface exhibited the highest GY (3.16 Mg ha –1 ), C (17.2 g dm –3 ) and pH (5.46). Based on the difference between GY registered in the low vs. high zone, overcoming soil constraints could be credited with a remarkable (>50%) yield increase, although further years of wheat cropping would be needed to prove the consistency of the two temporally stable soil traits, C and pH, as yield determinants. Nevertheless, this case study addressing a world area that features very different conditions from wheat grown in temperate regions shows good prospects for variable application of crop inputs in the frame of precision agriculture techniques."
19;"Tej Bahadur Shahi; Cheng-Yuan Xu; Arjun Neupane; Dayle Fresser; Dan O'Connor; Graeme Wright; William Guo";2023;A cooperative scheme for late leaf spot estimation in peanut using UAV multispectral images.;N/D;PloS one;14;10.1371/journal.pone.0282486;In Australia, peanuts are mainly grown in Queensland with tropical and subtropical climates. The most common foliar disease that poses a severe threat to quality peanut production is late leaf spot (LLS). Unmanned aerial vehicles (UAVs) have been widely investigated for various plant trait estimations. The existing works on UAV-based remote sensing have achieved promising results for crop disease estimation using a mean or a threshold value to represent the plot-level image data, but these methods might be insufficient to capture the distribution of pixels within a plot. This study proposes two new methods, namely measurement index (MI) and coefficient of variation (CV), for LLS disease estimation on peanuts. We first investigated the relationship between the UAV-based multispectral vegetation indices (VIs) and the LLS disease scores at the late growth stages of peanuts. We then compared the performances of the proposed MI and CV-based methods with the threshold and mean-based methods for LLS disease estimation. The results showed that the MI-based method achieved the highest coefficient of determination and the lowest error for five of the six chosen VIs whereas the CV-based method performed the best for simple ratio (SR) index among the four methods. By considering the strengths and weaknesses of each method, we finally proposed a cooperative scheme based on the MI, the CV and the mean-based methods for automatic disease estimation, demonstrated by applying this scheme to the LLS estimation in peanuts.
20;"Enric Fernández; Gil Gorchs; Lydia Serrano";2019;Use of consumer-grade cameras to assess wheat N status and grain yield.;N/D;PloS one;22;10.1371/journal.pone.0211889;Wheat Grain Yield (GY) and quality are particularly susceptible to nitrogen (N) fertilizer management. However, in rain-fed Mediterranean environments, crop N requirements might be variable due to the effects of water availability on crop growth. Therefore, in-season crop N status assessment is needed in order to apply N fertilizer in a cost-effective way while reducing environmental impacts. Remote sensing techniques might be useful at assessing in-season crop N status. In this study, we evaluated the capacity of vegetation indices formulated using blue (B), green (G), red (R) and near-infrared (NIR) bands obtained with a consumer-grade camera to assess wheat N status. Chlorophyll Content Index (CCI) and fractional intercepted PAR (fIPAR) were measured at three phenological stages and GY and biomass were determined at harvest. Indices formulated using RG bands and the normalized difference vegetation index (NDVI) were significantly correlated with both CCI and fIPAR at the different phenological stage (0.71 0.80, P < 0.01). Finally, RGB indices and NDVI obtained with a consumer-grade camera showed comparable capacity at assessing chlorophyll content and predicting both crop biomass and GY at harvest than those obtained with a spectroradiometer. This study highlights the potential of standard and modified consumer-grade cameras at assessing canopy traits related to crop N status and GY in wheat under Mediterranean conditions.
21;"Dennis Ochola; Bastiaen Boekelo; Gerrie W J van de Ven; Godfrey Taulya; Jerome Kubiriba; Piet J A van Asten; Ken E Giller";2022;Mapping spatial distribution and geographic shifts of East African highland banana (Musa spp.) in Uganda.;N/D;PloS one;21;10.1371/journal.pone.0263439;"East African highland banana (Musa acuminata genome group AAA-EA; hereafter referred to as banana) is critical for Uganda's food supply, hence our aim to map current distribution and to understand changes in banana production areas over the past five decades. We collected banana presence/absence data through an online survey based on high-resolution satellite images and coupled this data with independent covariates as inputs for ensemble machine learning prediction of current banana distribution. We assessed geographic shifts of production areas using spatially explicit differences between the 1958 and 2016 banana distribution maps. The biophysical factors associated with banana spatial distribution and geographic shift were determined using a logistic regression model and classification and regression tree, respectively. Ensemble models were superior (AUC = 0.895; 0.907) compared to their constituent algorithms trained with 12 and 17 covariates, respectively: random forests (AUC = 0.883; 0.901), gradient boosting machines (AUC = 0.878; 0.903), and neural networks (AUC = 0.870; 0.890). The logistic regression model (AUC = 0.879) performance was similar to that for the ensemble model and its constituent algorithms. In 2016, banana cultivation was concentrated in the western (44%) and central (36%) regions, while only a small proportion was in the eastern (18%) and northern (2%) regions. About 60% of increased cultivation since 1958 was in the western region; 50% of decreased cultivation in the eastern region; and 44% of continued cultivation in the central region. Soil organic carbon, soil pH, annual precipitation, slope gradient, bulk density and blue reflectance were associated with increased banana cultivation while precipitation seasonality and mean annual temperature were associated with decreased banana cultivation over the past 50 years. The maps of spatial distribution and geographic shift of banana can support targeting of context-specific intensification options and policy advocacy to avert agriculture driven environmental degradation."
22;"Laura Cristina Moura Xavier; George Deroco Martins; Guilherme Pereira de Oliveira; Murillo Guimarães Carneiro";2025;GEOTrat Points as a free resource in QGIS for mapping the performance of agricultural experiments.;N/D;PloS one;1;10.1371/journal.pone.0332751;Agricultural experimentation requires careful selection of the experimental design and model for analyzing treatment data. However, even with rigorous experimental control, the discrepancies between treatments are so subtle that traditional statistical models fail to highlight statistically significant differences that occur in field practice. The incorporation of geotechnologies offers the ability to map agricultural variability, but a gap still exists in the availability of tools designed to map and evaluate the effectiveness of agricultural experiments. To overcome this limitation and promote the wider application of Geographic Information Systems in agriculture, the scope of this study focuses on the development of a resource in QGIS software, aimed at evaluating agricultural experiments using a randomized block design with up to five treatments. The resource developed incorporates spatial interpolation techniques using geostatistical kriging, map generation, and statistics. The study used yield samples from six different crops to identify quantitative and spatial differences between two-treatment experiments in terms of yield gain. The performance evaluation included statistical measures such as Root Mean Square Error (RMSE) and Pearson's correlation coefficient to validate the accuracy of interpolated surfaces. The results consisted of two surfaces representing the study area treated with each of the treatments, as well as a surface reflecting the yield gain of the reference treatment in relation to the control treatment, accompanied by relevant descriptive statistics measures on this gain surface. The experiments showed that RMSE varied between 4.6% and 69.71%, depending on the crop and treatment, while Pearson's correlation ranged from -0.16 to 0.86, indicating varying degrees of agreement between interpolated and observed data. The tool successfully generated yield gain maps, allowing spatial visualization of treatment differences, with an accuracy of up to 95.40% in detecting spatial and numerical variations between treatments. The tool, called GEOTrat - Points, offers the flexibility to evaluate agricultural experiments of various designs, encompassing different crops and different quantities of samples, providing both numerical and spatial analysis.
23;"Mustafa Serkan Isik; Leandro Parente; Davide Consoli; Lindsey Sloat; Vinicius Vieira Mesquita; Laerte Guimaraes Ferreira; Simone Sabbatini; Radost Stanimirova; Nathalia Monteiro Teles; Nathaniel Robinson; Ciniro Costa Junior; Tomislav Hengl";2025;Light use efficiency (LUE) based bimonthly gross primary productivity (GPP) for global grasslands at 30 m spatial resolution (2000-2022).;"Analysis ready data (ARD); CERES; Earth observation; GPP; Global grassland monitoring; Grassland productivity; Gross primary productivity; Landsat; Light use efficiency; Modis";PeerJ;5;10.7717/peerj.19774;The article describes production of a high spatial resolution (30 m) bimonthly light use efficiency (LUE) based gross primary productivity (GPP) data set representing grasslands for the period 2000 to 2022. The data set is based on using reconstructed global complete consistent bimonthly Landsat archive (400TB of data), combined with 1 km MOD11A1 temperature data and 1° CERES Photosynthetically Active Radiation (PAR). First, the LUE model was implemented by taking the biome-specific productivity factor (maximum LUE parameter) as a global constant, producing a global bimonthly (uncalibrated) productivity data for the complete land mask. Second, the GPP 30 m bimonthly maps were derived for the global grassland annual predictions and calibrating the values based on the maximum LUE factor of 0.86 gCm<sup>-2</sup>d<sup>-1</sup>MJ<sup>-1</sup>. The results of validation of the produced GPP estimates based on 527 eddy covariance flux towers show an R-square between 0.48-0.71 and root mean square error (RMSE) below ~2.3 gCm<sup>-2</sup>d<sup>-1</sup> for all land cover classes. Using a total of 92 flux towers located in grasslands, the validation of the GPP product calibrated for the grassland biome revealed an R-square between 0.51-0.70 and an RMSE smaller than ~2 gCm<sup>-2</sup>d<sup>-1</sup>. The final time-series of maps (uncalibrated and grassland GPP) are available as bimonthly (daily estimates in units of gCm<sup>-2</sup>d<sup>-1</sup>) and annual (daily average accumulated by 365 days in units of gCm<sup>-2</sup>yr<sup>-1</sup>) in Cloud-Optimized GeoTIFF (~23TB in size) as open data (CC-BY license). The recommended uses of data include: trend analysis <i>e.g</i>., to determine where are the largest losses in GPP and which could be an indicator of potential land degradation, crop yield mapping and for modeling GHG fluxes at finer spatial resolution. Produced maps are available <i>via</i> SpatioTemporal Asset Catalog (http://stac.openlandmap.org) and Google Earth Engine.
24;"Robson Argolo dos Santos; Jesiele Silva da Divincula; Karine Rabelo de Oliveira; Luan Peroni Venancio; Marcos Francisco Missio; Roberto Filgueiras; Fernando França da Cunha; Catariny Cabral Aleman";2020;Remote sensing as a tool to determine biophysical parameters of irrigated seed corn crop.;"Biomass. Evapotranspiration. Agricultural Management. Water Productivity. SAFER Ciências Agrárias; Londrina; v. 41; n. 2; p. 435-446; mar./abr. 2020";Semina: Ciências Agrárias;5;10.5433/1679-0359.2020v41n2p435;In recent years, many studies have been conducted combining orbital remote sensing data and crop growth models for vegetation monitoring, evapotranspiration estimation and quantification of biophysical parameters, e.g., NDVI, surface temperature, albedo, and biomass. The aim of the present study was to estimate evapotranspiration (ETr), biomass (BIO), and water productivity (WP) for irrigated seed corn crop using the SAFER algorithm and Landsat 8 satellite images. For this, eight cloud-free images were acquired at different phenological stages over the interest area on the United States Geological Survey website and meteorological data. ETr was estimated by the SAFER algorithm, BIO by the Monteith model, and WP by the BIO/ETr ratio. ETr values ranged from 0 to 6 mm d?1, with the highest values coinciding with the period of high vegetative crop vigor, while the lowest values were found at the sowing season. The highest biomass values were observed from images at 46 and 62 days after sowing (DAS), corresponding to 286 and 289 kg ha?1 d?1, respectively. The highest mean of water productivity was observed at 62 DAS, with 6.9 kg m?3 of water, corresponding to the period of maximum vegetative crop vigor. The application of the SAFER model together with Landsat 8 satellite images was an alternative to identifying the spatial and temporal variation of biophysical parameters of the corn crop. It could assist in the management of water in irrigated agriculture and decision making in large-sized farms.
25;"Beatriz E. Bizzuti; Parker J. Williams; Marta M. Kohmann; Francisco J. Arriaga; Jessica L. Drewry; Dennis Hancock; Brian D. Luck";2026;Characterization and impact of agricultural machinery traffic on alfalfa forage harvested;N/D;Precision Agriculture;0;10.1007/s11119-026-10355-4;"Purpose: Harvest-related agricultural machinery traffic (AMT) can limit alfalfa production and persistence. This study aims to quantify the area affected by harvest AMT and assess its impact on alfalfa forage harvested (FH; i.e., total biomass harvested per area) under different soil preparation systems. Methods: Three experiments were conducted in Wisconsin, USA. In Experiment 1, GPS receivers were installed on all machines used in alfalfa silage harvest on a 650-ha commercial farm. Data were processed in QGIS to calculate the trafficked area, and a controlled traffic operation was simulated. In Experiments 2 (no-till) and 3 (moderate tillage), a 3-year field trial measuring FH was conducted using a randomized complete block design with three replicates. Traffic treatments included: No Traffic; 3- or 5-pass SILAGE (26 h post-harvest); and 3- or 5-pass HAY (72 h post-harvest). Results: GPS tracking showed that 46 ± 3.4% of the field area was traversed by AMT during a season, which decreased to 35 ± 0.6% under simulated controlled traffic. Under no-till, AMT had minimal impact on annual FH, although HAY traffic reduced FH by 7% compared to SILAGE in Year 3. Under moderate tillage, traffic decreased FH by 14% in the establishment year (Year 1), with HAY operations decreasing FH by 24% compared to SILAGE. Across Experiments 2 and 3, increasing the interval between harvest and AMT had a more negative effect on FH than the number of passes, whose effects were less consistent. Conclusion: Implementing controlled traffic and limiting traffic, particularly at longer intervals after harvest, may limit AMT impacts to alfalfa FH. Machinery traversed nearly half of the alfalfa field annually during silage production. Approximately 11% of the alfalfa fields may be covered by road tires annually. Controlled traffic minimizes spatial dispersion of machinery across the field. Agricultural machinery traffic can decrease alfalfa forage harvested by up to 24%. Longer intervals between alfalfa harvest and subsequent machinery traffic are more detrimental to forage harvested. This study combines GPS-based spatial analysis and field experiments to measure and understand the impact of harvest-related machinery traffic on alfalfa production. It aligns with Precision Agriculture by addressing within-field variability using geospatial technology and site-specific management methods, thereby improving system efficiency."
26;"André Freitas Colaço; José Paulo Molin; Joan R. Rosell-Polo; Alexandre Escolà";2018;Spatial variability in commercial orange groves. Part 1: canopy volume and height;"Precision horticulture; Mobile terrestrial laser scanner; LiDAR; Variable rate technology; Orange groves";Precision Agriculture;18;10.1007/s11119-018-9612-3;Characterizing crop spatial variability is crucial for estimating the opportunities for site-specific management practices. In the context of tree crops, ranging sensor technology has been developed to assess tree canopy geometry and control real-time variable rate application of plant protection products and fertilizers. The objective of this study was to characterize the variability of canopy geometry attributes in commercial orange groves in Brazil and therefore estimate the potential impact of sensor-based site-specific management. Using a mobile terrestrial laser scanner, canopy volume and canopy height were measured in 0.25 m length transversal sections along the rows across five large scale commercial orange groves in Sao Paulo, Brazil. The coefficient of variation of canopy volume ranged from 30 to 40%. Canopy height was less variable, but closely related to canopy volume. Histograms of canopy volume and height were usually negatively skewed indicating regions of the groves with smaller plants and punctual plant resets. In scenarios where input application rates followed canopy volume variability, input savings were around 40% compared to constant rates based on the maximum canopy volume. Maps of canopy geometry derived from mobile terrestrial laser scanning revealed significant canopy spatial variability, suggesting that the groves would benefit from strategies based on management zones and other forms of site-specific management.
